iter	Passed	Remaining
0	8	2504
1	16	2406
2	23	2287
3	31	2318
4	39	2334
5	48	2363
6	57	2415
7	66	2436
8	75	2450
9	84	2448
10	92	2436
11	100	2422
12	109	2417
13	117	2400
14	125	2384
15	133	2374
16	143	2385
17	151	2379
18	160	2369
19	169	2366
20	177	2360
21	185	2349
22	194	2341
23	202	2334
24	211	2325
25	219	2315
26	228	2305
27	237	2303
28	245	2296
29	254	2294
30	263	2290
31	278	2329
32	288	2335
33	299	2343
34	310	2349
35	323	2375
36	335	2384
37	345	2379
38	355	2380
39	368	2393
40	378	2389
41	389	2393
42	399	2388
43	410	2388
44	420	2380
45	430	2375
46	440	2370
47	451	2371
48	464	2378
49	473	2367
50	483	2359
51	492	2350
52	501	2338
53	511	2331
54	524	2337
55	533	2324
56	541	2310
57	551	2299
58	560	2288
59	569	2279
60	578	2267
61	587	2255
62	595	2240
63	605	2231
64	614	2220
65	622	2208
66	631	2196
67	640	2184
68	648	2171
69	657	2159
70	668	2154
71	679	2150
72	688	2140
73	697	2129
74	705	2117
75	717	2113
76	725	2101
77	734	2091
78	742	2078
79	751	2066
80	760	2054
81	769	2046
82	779	2037
83	790	2031
84	800	2025
85	812	2022
86	821	2011
87	830	2001
88	840	1993
89	850	1983
90	861	1978
91	870	1969
92	880	1959
93	889	1950
94	898	1939
95	908	1931
96	917	1920
97	926	1908
98	935	1898
99	943	1886
100	951	1874
101	959	1862
102	968	1852
103	977	1841
104	986	1831
105	994	1820
106	1003	1809
107	1012	1799
108	1020	1787
109	1029	1778
110	1037	1767
111	1046	1755
112	1054	1745
113	1064	1736
114	1073	1726
115	1082	1716
116	1090	1706
117	1099	1695
118	1107	1684
119	1115	1673
120	1127	1668
121	1135	1657
122	1144	1646
123	1152	1636
124	1161	1626
125	1170	1615
126	1178	1605
127	1194	1605
128	1209	1602
129	1223	1599
130	1231	1589
131	1241	1579
132	1249	1569
133	1258	1559
134	1269	1552
135	1278	1542
136	1288	1532
137	1297	1522
138	1306	1513
139	1315	1503
140	1324	1493
141	1338	1489
142	1348	1480
143	1360	1474
144	1370	1465
145	1379	1455
146	1384	1440
147	1393	1430
148	1401	1420
149	1410	1410
150	1418	1399
151	1427	1389
152	1435	1378
153	1443	1368
154	1451	1357
155	1460	1347
156	1468	1337
157	1476	1327
158	1481	1314
159	1490	1304
160	1499	1294
161	1507	1284
162	1516	1274
163	1524	1264
164	1532	1254
165	1541	1244
166	1552	1236
167	1560	1226
168	1569	1216
169	1577	1206
170	1586	1196
171	1596	1188
172	1605	1178
173	1613	1168
174	1622	1159
175	1631	1149
176	1639	1139
177	1648	1129
178	1656	1119
179	1665	1110
180	1673	1100
181	1681	1090
182	1689	1080
183	1699	1071
184	1708	1062
185	1717	1052
186	1725	1042
187	1734	1033
188	1742	1023
189	1751	1013
190	1759	1004
191	1768	994
192	1776	985
193	1784	975
194	1793	965
195	1802	956
196	1810	946
197	1818	936
198	1826	926
199	1835	917
200	1844	908
201	1853	899
202	1863	890
203	1872	881
204	1882	872
205	1891	863
206	1901	854
207	1911	845
208	1919	835
209	1928	826
210	1937	817
211	1946	808
212	1955	798
213	1964	789
214	1972	779
215	1981	770
216	1988	760
217	1998	751
218	2008	743
219	2017	733
220	2025	724
221	2034	714
222	2043	705
223	2052	696
224	2060	686
225	2069	677
226	2077	668
227	2085	658
228	2094	649
229	2104	640
230	2116	632
231	2124	622
232	2133	613
233	2144	604
234	2154	595
235	2163	586
236	2171	577
237	2179	567
238	2187	558
239	2196	549
240	2205	539
241	2213	530
242	2221	521
243	2230	511
244	2238	502
245	2248	493
246	2256	484
247	2265	475
248	2273	465
249	2282	456
250	2290	447
251	2298	437
252	2307	428
253	2315	419
254	2324	410
255	2332	400
256	2340	391
257	2349	382
258	2357	373
259	2368	364
260	2377	355
261	2387	346
262	2396	337
263	2405	327
264	2414	318
265	2423	309
266	2431	300
267	2440	291
268	2448	282
269	2456	272
270	2465	263
271	2473	254
272	2481	245
273	2490	236
274	2498	227
275	2511	218
276	2521	209
277	2530	200
278	2539	191
279	2547	181
280	2555	172
281	2564	163
282	2573	154
283	2581	145
284	2589	136
285	2597	127
286	2606	118
287	2614	108
288	2623	99
289	2631	90
290	2640	81
291	2648	72
292	2656	63
293	2664	54
294	2673	45
295	2682	36
296	2690	27
297	2698	18
298	2706	9
299	2715	0
